"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","neo","pha","diameter","sats"
"    22 Kalliope (A852 WA)",2.911,0.0987,13.70,65.98,357.83,2.624,3.20,4.97,61846,0,11965,,,6.81,N,N,167.536,1
"    31 Euphrosyne (A854 RA)",3.159,0.2159,26.32,30.80,61.77,2.477,3.84,5.62,59565,0,3326,,,6.88,N,N,267.080,1
"    41 Daphne (A856 KA)",2.763,0.2740,15.78,178.06,46.11,2.006,3.52,4.59,57545,0,7336,,,7.64,N,N,205.495,1
"    45 Eugenia (A857 MA)",2.72,0.0832,6.61,147.59,87.49,2.494,2.95,4.49,57507,0,12144,,,7.79,N,N,202.327,2
"    87 Sylvia (A866 KA)",3.477,0.0939,10.88,73.01,264.40,3.151,3.80,6.48,50618,0,6582,,,6.96,N,N,253.051,2
"    90 Antiope (A866 TA)",3.153,0.1689,2.21,69.93,245.24,2.620,3.69,5.6,57465,0,6473,,,8.46,N,N,115.974,1
"    93 Minerva (A867 QA)",2.759,0.1400,8.55,4.01,275.68,2.373,3.14,4.58,56222,0,4473,,,7.91,N,N,154.155,2
"   107 Camilla (A868 WA)",3.486,0.0653,10.00,172.59,305.22,3.258,3.71,6.51,56637,0,5584,,,7.13,N,N,210.370,2
"   121 Hermione (A872 JA)",3.453,0.1257,7.57,72.88,296.93,3.019,3.89,6.42,55389,0,7519,,,7.47,N,N,209.00,1
"   130 Elektra (A873 DA)",3.126,0.2097,22.78,144.99,237.75,2.471,3.78,5.53,47426,0,16037,,,7.48,N,N,180.652,3
"   216 Kleopatra (A880 GB)",2.793,0.2510,13.12,215.31,179.69,2.092,3.49,4.67,52503,0,5107,1,0,7.08,N,N,122,2
"   243 Ida (A884 SB)",2.861,0.0444,1.13,323.59,113.88,2.734,2.99,4.84,50685,0,11854,,,10.11,N,N,32,1
"   283 Emma (A889 CA)",3.05,0.1443,7.99,303.87,55.71,2.610,3.49,5.33,47361,0,8053,,,8.84,N,N,132.385,1
"   317 Roxane (A891 RD)",2.287,0.0859,1.77,151.34,187.13,2.091,2.48,3.46,48354,0,5306,,,9.79,N,N,18.648,1
"   379 Huenna (A894 AA)",3.144,0.1797,1.67,171.86,180.88,2.579,3.71,5.57,47501,0,9742,,,9.15,N,N,84.787,1
"   617 Patroclus (A906 UL)",5.208,0.1399,22.06,44.36,308.41,4.480,5.94,11.9,2723,0,2141,,,8.27,N,N,140.362,1
"   624 Hektor (A907 CF)",5.272,0.0233,18.15,342.79,179.64,5.149,5.39,12.1,42723,0,7014,,,7.41,N,N,225,1
"   702 Alauda (A910 OA)",3.195,0.0161,20.60,289.71,353.93,3.143,3.25,5.71,41352,0,9050,,,7.52,N,N,190.980,1
