"neo","pha","sats","H","diameter","e","a","q","i","om","w","ad","per_y","data_arc","n_obs_used","condition_code"
N,N,1,6.81,167.536,0.0987,2.911,2.624,13.70,65.98,357.83,3.20,4.97,61846,11965,0
N,N,1,6.88,267.080,0.2159,3.159,2.477,26.32,30.80,61.77,3.84,5.62,59565,3326,0
N,N,1,7.64,205.495,0.2740,2.763,2.006,15.78,178.06,46.11,3.52,4.59,57545,7336,0
N,N,2,7.79,202.327,0.0832,2.72,2.494,6.61,147.59,87.49,2.95,4.49,57507,12144,0
N,N,2,6.96,253.051,0.0939,3.477,3.151,10.88,73.01,264.40,3.80,6.48,50618,6582,0
N,N,1,8.46,115.974,0.1689,3.153,2.620,2.21,69.93,245.24,3.69,5.6,57465,6473,0
N,N,2,7.91,154.155,0.1400,2.759,2.373,8.55,4.01,275.68,3.14,4.58,56222,4473,0
N,N,2,7.13,210.370,0.0653,3.486,3.258,10.00,172.59,305.22,3.71,6.51,56637,5584,0
N,N,1,7.47,209.00,0.1257,3.453,3.019,7.57,72.88,296.93,3.89,6.42,55389,7519,0
N,N,3,7.48,180.652,0.2097,3.126,2.471,22.78,144.99,237.75,3.78,5.53,47426,16037,0
N,N,2,7.08,122,0.2510,2.793,2.092,13.12,215.31,179.69,3.49,4.67,52503,5107,0
N,N,1,10.11,32,0.0444,2.861,2.734,1.13,323.59,113.88,2.99,4.84,50685,11854,0
N,N,1,8.84,132.385,0.1443,3.05,2.610,7.99,303.87,55.71,3.49,5.33,47361,8053,0
N,N,1,9.79,18.648,0.0859,2.287,2.091,1.77,151.34,187.13,2.48,3.46,48354,5306,0
N,N,1,9.15,84.787,0.1797,3.144,2.579,1.67,171.86,180.88,3.71,5.57,47501,9742,0
N,N,1,8.27,140.362,0.1399,5.208,4.480,22.06,44.36,308.41,5.94,11.9,2723,2141,0
N,N,1,7.41,225,0.0233,5.272,5.149,18.15,342.79,179.64,5.39,12.1,42723,7014,0
N,N,1,7.52,190.980,0.0161,3.195,3.143,20.60,289.71,353.93,3.25,5.71,41352,9050,0
N,N,1,8.48,147.343,0.1071,3.155,2.817,13.10,305.53,188.66,3.49,5.6,39260,10366,0
N,N,1,12.15,9.450,0.1926,2.282,1.843,7.15,154.50,196.30,2.72,3.45,39620,5440,0
N,N,1,12.06,7.839,0.1740,2.37,1.958,6.09,190.56,84.58,2.78,3.65,29789,5988,0
N,N,1,12.10,10.390,0.1765,2.247,1.851,2.58,327.05,6.16,2.64,3.37,37737,7546,0
N,N,1,11.91,9.539,0.1274,2.22,1.937,6.04,8.82,53.13,2.50,3.31,36522,4377,0
N,N,1,11.92,9.785,0.1433,2.236,1.916,4.70,99.55,297.63,2.56,3.34,42122,4588,0
N,N,1,11.67,13.082,0.1274,2.214,1.932,3.73,71.45,354.32,2.50,3.29,47207,4886,0
N,N,1,12.59,,0.2555,1.948,1.450,13.09,213.30,206.73,2.45,2.72,34238,3817,0
N,N,1,11.72,13.504,0.2066,2.656,2.108,12.56,298.09,100.27,3.21,4.33,32918,9584,0
N,N,1,12.83,7.470,0.1121,2.264,2.010,4.81,325.50,110.42,2.52,3.41,32565,7673,0
N,N,1,12.50,6.573,0.0284,1.897,1.843,23.67,7.05,255.31,1.95,2.61,31344,3847,0
N,N,1,13.25,6.385,0.1089,2.202,1.963,4.86,63.58,65.62,2.44,3.27,30178,6154,0
N,N,1,12.75,8.17,0.0324,1.866,1.806,22.32,283.48,268.12,1.93,2.55,30820,6592,0
N,N,1,13.24,5.318,0.1874,2.315,1.881,6.21,336.86,72.98,2.75,3.52,25623,4132,0
N,N,1,11.14,15.140,0.2737,2.363,1.717,25.32,279.46,149.30,3.01,3.63,35299,4047,0
N,N,1,12.45,8.484,0.1290,2.196,1.912,6.19,340.42,116.44,2.48,3.25,33899,10286,0
N,N,1,12.61,,0.1016,1.854,1.666,22.89,132.99,313.12,2.04,2.52,24962,4674,0
N,N,1,12.24,10.614,0.0598,2.457,2.310,5.29,21.88,38.70,2.60,3.85,34010,9119,0
N,N,1,13.04,6.631,0.1221,2.199,1.930,6.19,44.23,3.96,2.47,3.26,32583,4978,0
N,N,1,12.25,9.934,0.2487,2.35,1.765,21.52,337.15,254.27,2.93,3.6,33950,5511,0
N,N,1,12.71,7.710,0.0563,2.188,2.065,3.96,147.43,336.16,2.31,3.24,35566,9662,0
Y,Y,1,16.08,1.5,0.5599,1.471,0.647,6.35,35.56,286.05,2.29,1.78,34041,3461,0
Y,N,1,12.54,8.48,0.5382,1.894,0.875,41.21,63.46,293.11,2.91,2.61,25252,8278,0
N,N,1,12.90,6.754,0.0519,2.174,2.061,3.13,193.57,12.67,2.29,3.21,31449,4928,0
N,N,1,13.14,4.625,0.1930,2.325,1.876,4.91,0.87,24.73,2.77,3.54,26952,3932,0
N,N,1,12.49,7.865,0.1659,2.241,1.869,4.05,252.10,25.08,2.61,3.36,33873,4852,0
N,N,1,13.40,5.956,0.1319,2.301,1.997,4.25,9.46,346.11,2.60,3.49,18296,6616,0
N,N,1,13.14,6.66,0.3454,2.379,1.558,23.98,53.62,50.33,3.20,3.67,26733,2963,0
N,N,1,14.09,3.131,0.0035,1.872,1.865,25.28,36.58,301.91,1.88,2.56,19090,3602,0
N,N,1,13.49,4.570,0.1547,2.25,1.902,2.75,1.22,350.14,2.60,3.38,25295,3670,0
N,N,1,12.46,8.736,0.1782,2.184,1.795,4.38,145.68,160.46,2.57,3.23,31851,8463,0
N,N,1,12.86,8.252,0.1111,1.887,1.678,33.99,306.02,38.50,2.10,2.59,17421,6528,0
N,N,1,12.87,8.035,0.1662,2.256,1.881,7.51,102.04,180.04,2.63,3.39,27081,6109,0
